Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Texas Radio","Tenaya West Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/109217550/texas-radio,4.0,-1,Boulder,"V3 PG13",1,,37.83841,-119.45219
"The Linen Line","Linen Line Boulders > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120778698/the-linen-line,3.6,-1,Boulder,"V1 R",1,25,37.73642,-119.57147
"Reach for a Peach","Reach for a Peach Boulder > Tenaya East Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107809557/reach-for-a-peach,3.7,-1,Boulder,V6,1,,37.83991,-119.45074
"Soto Slab","Soto Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120538111/soto-slab,3.6,-1,Boulder,V0,1,12,37.74752,-119.57521
"Chapman Overhang","Torque Spanner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112087759/chapman-overhang,2.7,-1,Boulder,V1,1,,37.74315,-119.6032
"Ahwahnee Fin","Ahwahnee Fin Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119523269/ahwahnee-fin,3.5,-1,Boulder,V3,1,20,37.74725,-119.57482
"Get It Up","Get it Up Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108329030/get-it-up,3.6,-1,Boulder,V3,1,,37.71796,-119.62824
"Mean Green","Green Meanies > The Gunks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107459893/mean-green,4.0,-1,Boulder,V8,1,12,37.88048,-119.40061
Thriller,"Thriller Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106074984/thriller,4.0,-1,Boulder,V9,1,,37.74325,-119.60225
"Unnamed Face","The Glass Pyramid > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111637448/unnamed-face,2.9,-1,Boulder,V1,1,15,37.7426,-119.60284
"The Tombstone","The Tombstone > Kitty Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117300279/the-tombstone,3.5,-1,Boulder,V2,1,,37.87283,-119.34719
"Snake Eyes","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/113548878/snake-eyes,3.0,-1,Boulder,V3,1,12,37.85273,-119.44141
"Creek Arete  (#1)","Creek Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119161352/creek-arete-1,3.9,-1,Boulder,V0,1,,37.85234,-119.44121
"For the Glory","Olde English Boulder > Drug Dome Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119056588/for-the-glory,4.0,-1,Boulder,V7,1,,37.86483,-119.4229
"The  Diamond Left","The Diamond Boulder > Candyland Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106783154/the-diamond-left,3.6,-1,Boulder,V6,1,10,37.72134,-119.61391
"Cedar Eater","Cedar Eater Boulder > Mist Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107264228/cedar-eater,4.0,-1,Boulder,V5,1,30,37.72621,-119.5531
"The Jimmy Hendrix Experience","Bachar Cracker Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108211806/the-jimmy-hendrix-experience,2.4,-1,Boulder,V0,1,10,37.74317,-119.60292
"Short Train","Pywiack Boulder > Pywiack Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117553303/short-train,3.4,-1,Boulder,V4,1,,37.84563,-119.44564
"Wood Yard Arete","Wood Yard > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107586305/wood-yard-arete,3.8,-1,Boulder,V6,1,20,37.72531,-119.63965
"Jedi Jake","Campground Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117669411/jedi-jake,3.8,-1,Boulder,V7,1,,37.869,-119.36571
"Heavy Artillery","May Lake - Battle Tanks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/118565115/heavy-artillery,4.0,-1,Boulder,V9,1,,37.85149,-119.48827
Deliverance,"The Lost Boulder > Lost Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110637486/deliverance,4.0,-1,Boulder,V8,1,12,37.72038,-119.61673
"Ladder Detail","The Hex Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107863925/ladder-detail,2.5,-1,Boulder,V4-5,1,10,37.71889,-119.62828
"Ghetto Snake","Ghetto Snake > Cathedral Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106029670/ghetto-snake,4.0,-1,Boulder,V5,1,30,37.86569,-119.39761
"A Walk in the Park","Walk in the Park Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120210339/a-walk-in-the-park,4.0,-1,Boulder,"V2 PG13",1,20,37.71914,-119.62894
"The Force","Thriller Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106081723/the-force,3.8,-1,Boulder,V9,1,,37.74325,-119.60225
"Bruce Lee","Bruce Lee Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107840351/bruce-lee,3.8,-1,Boulder,V8,1,20,37.74285,-119.604
"Did It Up","The King Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106783086/did-it-up,3.3,-1,Boulder,"V4 PG13",1,15,37.71818,-119.62817
Ataturk,"Bridalveil Boulder > Bridalveil Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106418473/ataturk,3.5,-1,Boulder,V5,1,,37.71552,-119.65022
"Heart Route (Free)","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110644695/heart-route-free,4.0,-1,"Trad, Boulder","5.13b V10",26,,37.73051,-119.63828
"Spanish Fly","Spanish Fly Boulder > Sentinel Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116241623/spanish-fly,3.9,-1,Boulder,"V6 PG13",1,25,37.73155,-119.59899
"Steelfingers Traverse","Steel Fingers > The Gunks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/108025536/steelfingers-traverse,4.0,-1,Boulder,V8,1,,37.88065,-119.39996
